"HYRIV_ID","HYBAS_L08","HYBAS_L12"
20080212,2080036720,2120036720
20080213,2080036720,2120036720
20080214,2080036720,2120036720
20080215,2080036720,2120036720
20080231,2080029800,2120029840
20080309,2080036720,2120036720
20080310,2080036720,2120036720
20080311,2080036720,2120036720
20080405,2080036720,2120036720
20080406,2080036720,2120036720
20080407,2080036720,2120036720
20080508,2080030490,2120030490
20080577,2080036610,2120036660
20080578,2080036720,2120036720
20080579,2080036720,2120036720
20080647,2080036720,2120036720
20080741,2080030490,2120030490
20080793,2080036610,2120036660
20080878,2080036720,2120036720
20080980,2080030490,2120030490
20081252,2080036720,2120036720
20081416,2080036720,2120036720
20081509,2080036610,2120036660
20081510,2080036610,2120036660
20081511,2080036610,2120036660
20081512,2080036720,2120036720
20081513,2080036720,2120036720
20081514,2080036720,2120036720
20081590,2080036610,2120036660
20081704,2080036720,2120036720
20081802,2080036720,2120036720
20081923,2080036610,2120036660
20081924,2080036720,2120036720
20082110,2080036610,2120036660
20082205,2080036610,2120036660
20082206,2080036610,2120036660
20082207,2080036610,2120036660
20082535,2080036610,2120036660
20082536,2080036720,2120036720
20082622,2080036720,2120036720
20082708,2080036720,2120036720
20082721,2080029800,2120029820
20082722,2080029800,2120029820
20082811,2080036610,2120036650
20082812,2080036610,2120036660
20082836,2080029800,2120029820
20082913,2080036610,2120036660
20082914,2080036610,2120036660
20083001,2080036610,2120036660
20083002,2080036610,2120036660
20083108,2080036610,2120036660
20083109,2080036610,2120036660
20083221,2080036610,2120036660
20083222,2080036610,2120036660
20083332,2080036610,2120036650
20083433,2080036610,2120036650
20083434,2080036610,2120036660
20083654,2080036610,2120036660
20083759,2080036610,2120036660
20083760,2080036610,2120036660
20083761,2080036610,2120036660
20083762,2080036610,2120036660
20083849,2080036610,2120036660
20083850,2080036610,2120036660
20083851,2080036610,2120036660
20083852,2080036700,2120036700
20083948,2080036610,2120036660
20083949,2080036610,2120036660
20083950,2080036610,2120036660
20083951,2080036610,2120036660
20083952,2080036610,2120036660
20083953,2080036610,2120036660
20084049,2080036610,2120036660
20084137,2080036610,2120036650
20084138,2080036610,2120036660
20084139,2080036610,2120036660
20084223,2080036610,2120036650
20084320,2080036610,2120036660
20084321,2080036610,2120036660
20084322,2080036610,2120036660
20084323,2080036700,2120036700
20084324,2080036700,2120036700
20084409,2080036610,2120036660
20084410,2080036610,2120036660
20084411,2080036610,2120036660
20084412,2080036610,2120036660
20084413,2080036610,2120036660
20084440,2080029760,2120029780
20084517,2080036610,2120036660
20084518,2080036610,2120036660
20084519,2080036610,2120036660
20084520,2080036700,2120036700
20084606,2080036610,2120036660
20084607,2080036610,2120036660
20084702,2080036610,2120036660
20084703,2080036610,2120036660
20084892,2080036610,2120036650
20084893,2080036700,2120036700
20084989,2080036610,2120036650
20085100,2080036610,2120036660
20085181,2080036610,2120036660
20085182,2080036610,2120036660
20085183,2080036610,2120036660
20085184,2080036610,2120036660
20085185,2080036680,2120036680
20085272,2080036610,2120036650
20085351,2080036610,2120036650
20085352,2080036610,2120036650
20085353,2080036610,2120036660
20085354,2080036610,2120036660
20085439,2080036610,2120036660
20085533,2080036610,2120036650
20085534,2080036610,2120036650
20085548,2080029760,2120029760
20085622,2080036610,2120036650
20085702,2080036610,2120036650
20085703,2080036610,2120036650
20085704,2080036610,2120036660
20085705,2080036610,2120036660
20085706,2080036610,2120036660
20085809,2080036610,2120036650
20085810,2080036610,2120036660
20085811,2080036680,2120036680
20085900,2080036610,2120036650
20085901,2080036610,2120036650
20085902,2080036610,2120036660
20085932,2080029760,2120029760
20086027,2080036610,2120036650
20086028,2080036610,2120036650
20086029,2080036610,2120036660
20086030,2080036610,2120036660
20086129,2080036610,2120036650
20086130,2080036610,2120036650
20086131,2080036610,2120036660
20086132,2080036680,2120036680
20086232,2080036610,2120036650
20086334,2080036610,2120036650
20086335,2080036610,2120036650
20086558,2080036610,2120036650
20086559,2080036680,2120036680
20086690,2080036680,2120036680
20086710,2080030490,2120030530
20086775,2080036680,2120036680
20086908,2080030490,2120030530
20087101,2080036610,2120036650
20087102,2080036610,2120036650
20087943,2080036610,2120036630
20088806,2080036610,2120036630
20088807,2080036610,2120036630
20088930,2080036610,2120036630
20090296,2080036610,2120036610
20090548,2080036610,2120036610
20090964,2080036610,2120036610
20091184,2080036490,2120036490
20091185,2080036490,2120036490
20091267,2080036610,2120036610
20091271,2080036490,2120036490
20091272,2080036490,2120036490
20091349,2080036490,2120036490
20091450,2080029720,2120029740
20091451,2080029720,2120029740
20091671,2080036490,2120036490
20091672,2080036490,2120036490
20091687,2080030570,2120030570
20091688,2080030570,2120030570
20091762,2080036490,2120036490
20091763,2080036490,2120036490
20091764,2080036490,2120036490
20091765,2080036490,2120036490
20091782,2080030570,2120030570
20091783,2080030570,2120030570
20091897,2080030570,2120030570
20091990,2080030570,2120030570
20092081,2080036490,2120036490
20092173,2080036610,2120036610
20092174,2080036610,2120036610
20092175,2080036490,2120036490
20092191,2080029720,2120029740
20092397,2080030570,2120030570
20092487,2080036490,2120036490
20092590,2080036490,2120036490
20092764,2080036610,2120036610
20092897,2080036490,2120036490
20092984,2080036610,2120036610
20092988,2080036490,2120036490
20092989,2080036490,2120036490
20093205,2080036610,2120036610
20093213,2080036490,2120036490
20093295,2080036490,2120036490
20093296,2080036490,2120036490
20093390,2080036610,2120036610
20093391,2080036610,2120036610
20093581,2080036490,2120036490
20093694,2080029660,2120029680
20093768,2080036610,2120036610
20093769,2080036610,2120036610
20093770,2080036610,2120036610
20093771,2080036610,2120036610
20093971,2080036610,2120036610
20094003,2080029660,2120029680
20094195,2080036610,2120036610
20094214,2080030570,2120030590
20094438,2080036610,2120036610
20094439,2080036610,2120036610
20094674,2080030570,2120030590
20094740,2080036610,2120036610
20094741,2080036610,2120036610
20094752,2080036490,2120036490
20094831,2080036610,2120036610
20094832,2080036610,2120036610
20094858,2080030570,2120030590
20094936,2080036610,2120036610
20094966,2080030570,2120030590
20095275,2080030570,2120030590
20095361,2080036610,2120036610
20095471,2080036470,2120036470
20095472,2080036470,2120036470
20095661,2080036610,2120036610
20095681,2080030570,2120030590
20095759,2080036470,2120036470
20095760,2080036470,2120036470
20095870,2080036490,2120036510
20095871,2080036470,2120036470
20095975,2080036490,2120036510
20095976,2080036490,2120036510
20096067,2080036490,2120036510
20096068,2080036490,2120036510
20096069,2080036470,2120036470
20096168,2080036490,2120036510
20096169,2080036490,2120036510
20096178,2080030570,2120030590
20096277,2080030570,2120030590
20096278,2080029660,2120029680
20096279,2080029660,2120029680
20096360,2080036490,2120036510
20096361,2080036470,2120036470
20096362,2080036470,2120036470
20096455,2080036590,2120036590
20096458,2080036490,2120036510
20096459,2080036490,2120036510
20096460,2080036470,2120036470
20096461,2080036470,2120036470
20096462,2080036470,2120036470
20096561,2080036590,2120036590
20096564,2080036490,2120036510
20096565,2080036490,2120036510
20096644,2080036590,2120036590
20096645,2080036590,2120036590
20096663,2080029660,2120029680
20096664,2080029660,2120029680
20096665,2080029660,2120029680
20096737,2080036590,2120036590
20096738,2080036590,2120036590
20096740,2080036470,2120036470
20096741,2080036470,2120036470
20096756,2080030570,2120030590
20096827,2080036590,2120036590
20096828,2080036590,2120036590
20096829,2080036590,2120036590
20096831,2080036490,2120036510
20096832,2080036490,2120036510
20096833,2080036470,2120036470
20096834,2080036470,2120036470
20096835,2080036470,2120036470
20096919,2080036590,2120036590
20096920,2080036590,2120036590
20096921,2080036470,2120036470
20096922,2080036470,2120036470
20097010,2080036590,2120036590
20097100,2080036590,2120036590
20097102,2080036470,2120036470
20097194,2080036590,2120036590
20097195,2080036590,2120036590
20097196,2080036590,2120036590
20097197,2080036490,2120036520
20097198,2080036470,2120036470
20097278,2080036490,2120036520
20097279,2080036470,2120036470
20097280,2080036470,2120036470
20097281,2080036470,2120036470
20097360,2080036590,2120036590
